"ITTER107","Territorio","TIPO_DATO_VIAGGI","Tipo Dato","ISO","Destinazione","TIPO_VIAGGIO2","Tipo di viaggio","SEXISTAT1","Sesso","ETA1","Classe di età","CONDIZIONE_DICH","Condizione professionale","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"ITCD","Nord","DEM_PTOUR_AV_PERC1","persone che hanno viaggiato. Media annuale - valori per 100 abitanti","TOTAL","Totale","TRIP","tutti i tipi di viaggio","9","totale","TOTAL","totale","99","totale","1998","1998",29.3,,
"ITCD","Nord","DEM_PTOUR_AV_PERC1","persone che hanno viaggiato. Media annuale - valori per 100 abitanti","TOTAL","Totale","TRIP","tutti i tipi di viaggio","9","totale","TOTAL","totale","99","totale","1999","1999",30.2,,
"ITCD","Nord","DEM_PTOUR_AV_PERC1","persone che hanno viaggiato. Media annuale - valori per 100 abitanti","TOTAL","Totale","TRIP","tutti i tipi di viaggio","9","totale","TOTAL","totale","99","totale","2000","2000",29.7,,
"ITCD","Nord","DEM_PTOUR_AV_PERC1","persone che hanno viaggiato. Media annuale - valori per 100 abitanti","TOTAL","Totale","TRIP","tutti i tipi di viaggio","9","totale","TOTAL","totale","99","totale","2001","2001",31.1,,
"ITCD","Nord","DEM_PTOUR_AV_PERC1","persone che hanno viaggiato. Media annuale - valori per 100 abitanti","TOTAL","Totale","TRIP","tutti i tipi di viaggio","9","totale","TOTAL","totale","99","totale","2002","2002",31.8,,
"ITCD","Nord","DEM_PTOUR_AV_PERC1","persone che hanno viaggiato. Media annuale - valori per 100 abitanti","TOTAL","Totale","TRIP","tutti i tipi di viaggio","9","totale","TOTAL","totale","99","totale","2003","2003",30.4,,
"ITCD","Nord","DEM_PTOUR_AV_PERC1","persone che hanno viaggiato. Media annuale - valori per 100 abitanti","TOTAL","Totale","TRIP","tutti i tipi di viaggio","9","totale","TOTAL","totale","99","totale","2004","2004",31.6,,
"ITCD","Nord","DEM_PTOUR_AV_PERC1","persone che hanno viaggiato. Media annuale - valori per 100 abitanti","TOTAL","Totale","TRIP","tutti i tipi di viaggio","9","totale","TOTAL","totale","99","totale","2005","2005",34.4,,
"ITCD","Nord","DEM_PTOUR_AV_PERC1","persone che hanno viaggiato. Media annuale - valori per 100 abitanti","TOTAL","Totale","TRIP","tutti i tipi di viaggio","9","totale","TOTAL","totale","99","totale","2006","2006",33.3,,
"ITCD","Nord","DEM_PTOUR_AV_PERC1","persone che hanno viaggiato. Media annuale - valori per 100 abitanti","TOTAL","Totale","TRIP","tutti i tipi di viaggio","9","totale","TOTAL","totale","99","totale","2007","2007",34.2,,
"ITCD","Nord","DEM_PTOUR_AV_PERC1","persone che hanno viaggiato. Media annuale - valori per 100 abitanti","TOTAL","Totale","TRIP","tutti i tipi di viaggio","9","totale","TOTAL","totale","99","totale","2008","2008",34.5,,
"ITCD","Nord","DEM_PTOUR_AV_PERC1","persone che hanno viaggiato. Media annuale - valori per 100 abitanti","TOTAL","Totale","TRIP","tutti i tipi di viaggio","9","totale","TOTAL","totale","99","totale","2009","2009",32.3,,
"ITCD","Nord","DEM_PTOUR_AV_PERC1","persone che hanno viaggiato. Media annuale - valori per 100 abitanti","TOTAL","Totale","TRIP","tutti i tipi di viaggio","9","totale","TOTAL","totale","99","totale","2010","2010",31.3,,
"ITCD","Nord","DEM_PTOUR_AV_PERC1","persone che hanno viaggiato. Media annuale - valori per 100 abitanti","TOTAL","Totale","TRIP","tutti i tipi di viaggio","9","totale","TOTAL","totale","99","totale","2011","2011",28.7,,
"ITCD","Nord","DEM_PTOUR_AV_PERC1","persone che hanno viaggiato. Media annuale - valori per 100 abitanti","TOTAL","Totale","TRIP","tutti i tipi di viaggio","9","totale","TOTAL","totale","99","totale","2012","2012",28.3,,
"ITCD","Nord","DEM_PTOUR_AV_PERC1","persone che hanno viaggiato. Media annuale - valori per 100 abitanti","TOTAL","Totale","TRIP","tutti i tipi di viaggio","9","totale","TOTAL","totale","99","totale","2013","2013",23.8,,
"ITE","Centro","DEM_PTOUR_AV_PERC1","persone che hanno viaggiato. Media annuale - valori per 100 abitanti","TOTAL","Totale","TRIP","tutti i tipi di viaggio","9","totale","TOTAL","totale","99","totale","1998","1998",27.8,,
"ITE","Centro","DEM_PTOUR_AV_PERC1","persone che hanno viaggiato. Media annuale - valori per 100 abitanti","TOTAL","Totale","TRIP","tutti i tipi di viaggio","9","totale","TOTAL","totale","99","totale","1999","1999",27.5,,
"ITE","Centro","DEM_PTOUR_AV_PERC1","persone che hanno viaggiato. Media annuale - valori per 100 abitanti","TOTAL","Totale","TRIP","tutti i tipi di viaggio","9","totale","TOTAL","totale","99","totale","2000","2000",28.8,,
"ITE","Centro","DEM_PTOUR_AV_PERC1","persone che hanno viaggiato. Media annuale - valori per 100 abitanti","TOTAL","Totale","TRIP","tutti i tipi di viaggio","9","totale","TOTAL","totale","99","totale","2001","2001",27.9,,
"ITE","Centro","DEM_PTOUR_AV_PERC1","persone che hanno viaggiato. Media annuale - valori per 100 abitanti","TOTAL","Totale","TRIP","tutti i tipi di viaggio","9","totale","TOTAL","totale","99","totale","2002","2002",28.6,,
"ITE","Centro","DEM_PTOUR_AV_PERC1","persone che hanno viaggiato. Media annuale - valori per 100 abitanti","TOTAL","Totale","TRIP","tutti i tipi di viaggio","9","totale","TOTAL","totale","99","totale","2003","2003",28.7,,
"ITE","Centro","DEM_PTOUR_AV_PERC1","persone che hanno viaggiato. Media annuale - valori per 100 abitanti","TOTAL","Totale","TRIP","tutti i tipi di viaggio","9","totale","TOTAL","totale","99","totale","2004","2004",27,,
"ITE","Centro","DEM_PTOUR_AV_PERC1","persone che hanno viaggiato. Media annuale - valori per 100 abitanti","TOTAL","Totale","TRIP","tutti i tipi di viaggio","9","totale","TOTAL","totale","99","totale","2005","2005",31.2,,
"ITE","Centro","DEM_PTOUR_AV_PERC1","persone che hanno viaggiato. Media annuale - valori per 100 abitanti","TOTAL","Totale","TRIP","tutti i tipi di viaggio","9","totale","TOTAL","totale","99","totale","2006","2006",32.3,,
"ITE","Centro","DEM_PTOUR_AV_PERC1","persone che hanno viaggiato. Media annuale - valori per 100 abitanti","TOTAL","Totale","TRIP","tutti i tipi di viaggio","9","totale","TOTAL","totale","99","totale","2007","2007",31.4,,
"ITE","Centro","DEM_PTOUR_AV_PERC1","persone che hanno viaggiato. Media annuale - valori per 100 abitanti","TOTAL","Totale","TRIP","tutti i tipi di viaggio","9","totale","TOTAL","totale","99","totale","2008","2008",33.2,,
"ITE","Centro","DEM_PTOUR_AV_PERC1","persone che hanno viaggiato. Media annuale - valori per 100 abitanti","TOTAL","Totale","TRIP","tutti i tipi di viaggio","9","totale","TOTAL","totale","99","totale","2009","2009",32,,
"ITE","Centro","DEM_PTOUR_AV_PERC1","persone che hanno viaggiato. Media annuale - valori per 100 abitanti","TOTAL","Totale","TRIP","tutti i tipi di viaggio","9","totale","TOTAL","totale","99","totale","2010","2010",30.4,,
"ITE","Centro","DEM_PTOUR_AV_PERC1","persone che hanno viaggiato. Media annuale - valori per 100 abitanti","TOTAL","Totale","TRIP","tutti i tipi di viaggio","9","totale","TOTAL","totale","99","totale","2011","2011",26.5,,
"ITE","Centro","DEM_PTOUR_AV_PERC1","persone che hanno viaggiato. Media annuale - valori per 100 abitanti","TOTAL","Totale","TRIP","tutti i tipi di viaggio","9","totale","TOTAL","totale","99","totale","2012","2012",24.9,,
"ITE","Centro","DEM_PTOUR_AV_PERC1","persone che hanno viaggiato. Media annuale - valori per 100 abitanti","TOTAL","Totale","TRIP","tutti i tipi di viaggio","9","totale","TOTAL","totale","99","totale","2013","2013",23.2,,
"ITFG","Mezzogiorno","DEM_PTOUR_AV_PERC1","persone che hanno viaggiato. Media annuale - valori per 100 abitanti","TOTAL","Totale","TRIP","tutti i tipi di viaggio","9","totale","TOTAL","totale","99","totale","1998","1998",17.4,,
"ITFG","Mezzogiorno","DEM_PTOUR_AV_PERC1","persone che hanno viaggiato. Media annuale - valori per 100 abitanti","TOTAL","Totale","TRIP","tutti i tipi di viaggio","9","totale","TOTAL","totale","99","totale","1999","1999",17.2,,
"ITFG","Mezzogiorno","DEM_PTOUR_AV_PERC1","persone che hanno viaggiato. Media annuale - valori per 100 abitanti","TOTAL","Totale","TRIP","tutti i tipi di viaggio","9","totale","TOTAL","totale","99","totale","2000","2000",18.6,,
"ITFG","Mezzogiorno","DEM_PTOUR_AV_PERC1","persone che hanno viaggiato. Media annuale - valori per 100 abitanti","TOTAL","Totale","TRIP","tutti i tipi di viaggio","9","totale","TOTAL","totale","99","totale","2001","2001",18.6,,
"ITFG","Mezzogiorno","DEM_PTOUR_AV_PERC1","persone che hanno viaggiato. Media annuale - valori per 100 abitanti","TOTAL","Totale","TRIP","tutti i tipi di viaggio","9","totale","TOTAL","totale","99","totale","2002","2002",20,,
"ITFG","Mezzogiorno","DEM_PTOUR_AV_PERC1","persone che hanno viaggiato. Media annuale - valori per 100 abitanti","TOTAL","Totale","TRIP","tutti i tipi di viaggio","9","totale","TOTAL","totale","99","totale","2003","2003",18.5,,
"ITFG","Mezzogiorno","DEM_PTOUR_AV_PERC1","persone che hanno viaggiato. Media annuale - valori per 100 abitanti","TOTAL","Totale","TRIP","tutti i tipi di viaggio","9","totale","TOTAL","totale","99","totale","2004","2004",19.4,,
"ITFG","Mezzogiorno","DEM_PTOUR_AV_PERC1","persone che hanno viaggiato. Media annuale - valori per 100 abitanti","TOTAL","Totale","TRIP","tutti i tipi di viaggio","9","totale","TOTAL","totale","99","totale","2005","2005",20.7,,
"ITFG","Mezzogiorno","DEM_PTOUR_AV_PERC1","persone che hanno viaggiato. Media annuale - valori per 100 abitanti","TOTAL","Totale","TRIP","tutti i tipi di viaggio","9","totale","TOTAL","totale","99","totale","2006","2006",21.4,,
"ITFG","Mezzogiorno","DEM_PTOUR_AV_PERC1","persone che hanno viaggiato. Media annuale - valori per 100 abitanti","TOTAL","Totale","TRIP","tutti i tipi di viaggio","9","totale","TOTAL","totale","99","totale","2007","2007",21.7,,
"ITFG","Mezzogiorno","DEM_PTOUR_AV_PERC1","persone che hanno viaggiato. Media annuale - valori per 100 abitanti","TOTAL","Totale","TRIP","tutti i tipi di viaggio","9","totale","TOTAL","totale","99","totale","2008","2008",23.6,,
"ITFG","Mezzogiorno","DEM_PTOUR_AV_PERC1","persone che hanno viaggiato. Media annuale - valori per 100 abitanti","TOTAL","Totale","TRIP","tutti i tipi di viaggio","9","totale","TOTAL","totale","99","totale","2009","2009",20.2,,
"ITFG","Mezzogiorno","DEM_PTOUR_AV_PERC1","persone che hanno viaggiato. Media annuale - valori per 100 abitanti","TOTAL","Totale","TRIP","tutti i tipi di viaggio","9","totale","TOTAL","totale","99","totale","2010","2010",19.5,,
"ITFG","Mezzogiorno","DEM_PTOUR_AV_PERC1","persone che hanno viaggiato. Media annuale - valori per 100 abitanti","TOTAL","Totale","TRIP","tutti i tipi di viaggio","9","totale","TOTAL","totale","99","totale","2011","2011",15.3,,
"ITFG","Mezzogiorno","DEM_PTOUR_AV_PERC1","persone che hanno viaggiato. Media annuale - valori per 100 abitanti","TOTAL","Totale","TRIP","tutti i tipi di viaggio","9","totale","TOTAL","totale","99","totale","2012","2012",15.5,,
"ITFG","Mezzogiorno","DEM_PTOUR_AV_PERC1","persone che hanno viaggiato. Media annuale - valori per 100 abitanti","TOTAL","Totale","TRIP","tutti i tipi di viaggio","9","totale","TOTAL","totale","99","totale","2013","2013",13.4,,
