"ITTER107","Territorio","TIPO_DATO_VIAGGI","Tipo Dato","ISO","Destinazione","TIPO_VIAGGIO2","Tipo di viaggio","SEXISTAT1","Sesso","ETA1","Classe di età","CONDIZIONE_DICH","Condizione professionale","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"IT","Italia","DEM_PTOUR_PERC2","persone che hanno viaggiato - valori per 100 abitanti con le stesse caratteristiche","TOTAL","Totale","HOL","viaggio di vacanza","9","totale","Y_GE15","15 anni e più","1","occupato","1998-Q2","T2-1998",21.5,,
"IT","Italia","DEM_PTOUR_PERC2","persone che hanno viaggiato - valori per 100 abitanti con le stesse caratteristiche","TOTAL","Totale","HOL","viaggio di vacanza","9","totale","Y_GE15","15 anni e più","1","occupato","1998-Q1","T1-1998",20.2,,
"IT","Italia","DEM_PTOUR_PERC2","persone che hanno viaggiato - valori per 100 abitanti con le stesse caratteristiche","TOTAL","Totale","HOL","viaggio di vacanza","9","totale","Y_GE15","15 anni e più","1","occupato","1998-Q4","T4-1998",16.3,,
"IT","Italia","DEM_PTOUR_PERC2","persone che hanno viaggiato - valori per 100 abitanti con le stesse caratteristiche","TOTAL","Totale","HOL","viaggio di vacanza","9","totale","Y_GE15","15 anni e più","1","occupato","1998-Q3","T3-1998",53.5,,
"IT","Italia","DEM_PTOUR_PERC2","persone che hanno viaggiato - valori per 100 abitanti con le stesse caratteristiche","TOTAL","Totale","HOL","viaggio di vacanza","9","totale","Y_GE15","15 anni e più","1","occupato","1999-Q1","T1-1999",18.5,,
"IT","Italia","DEM_PTOUR_PERC2","persone che hanno viaggiato - valori per 100 abitanti con le stesse caratteristiche","TOTAL","Totale","HOL","viaggio di vacanza","9","totale","Y_GE15","15 anni e più","1","occupato","1999-Q2","T2-1999",23.1,,
"IT","Italia","DEM_PTOUR_PERC2","persone che hanno viaggiato - valori per 100 abitanti con le stesse caratteristiche","TOTAL","Totale","HOL","viaggio di vacanza","9","totale","Y_GE15","15 anni e più","1","occupato","1999-Q4","T4-1999",17.5,,
"IT","Italia","DEM_PTOUR_PERC2","persone che hanno viaggiato - valori per 100 abitanti con le stesse caratteristiche","TOTAL","Totale","HOL","viaggio di vacanza","9","totale","Y_GE15","15 anni e più","1","occupato","1999-Q3","T3-1999",50.6,,
"IT","Italia","DEM_PTOUR_PERC2","persone che hanno viaggiato - valori per 100 abitanti con le stesse caratteristiche","TOTAL","Totale","HOL","viaggio di vacanza","9","totale","Y_GE15","15 anni e più","1","occupato","2000-Q2","T2-2000",25.5,,
"IT","Italia","DEM_PTOUR_PERC2","persone che hanno viaggiato - valori per 100 abitanti con le stesse caratteristiche","TOTAL","Totale","HOL","viaggio di vacanza","9","totale","Y_GE15","15 anni e più","1","occupato","2000-Q1","T1-2000",19.6,,
"IT","Italia","DEM_PTOUR_PERC2","persone che hanno viaggiato - valori per 100 abitanti con le stesse caratteristiche","TOTAL","Totale","HOL","viaggio di vacanza","9","totale","Y_GE15","15 anni e più","1","occupato","2000-Q4","T4-2000",16.3,,
"IT","Italia","DEM_PTOUR_PERC2","persone che hanno viaggiato - valori per 100 abitanti con le stesse caratteristiche","TOTAL","Totale","HOL","viaggio di vacanza","9","totale","Y_GE15","15 anni e più","1","occupato","2000-Q3","T3-2000",51.9,,
"IT","Italia","DEM_PTOUR_PERC2","persone che hanno viaggiato - valori per 100 abitanti con le stesse caratteristiche","TOTAL","Totale","HOL","viaggio di vacanza","9","totale","Y_GE15","15 anni e più","1","occupato","2001-Q1","T1-2001",21.3,,
"IT","Italia","DEM_PTOUR_PERC2","persone che hanno viaggiato - valori per 100 abitanti con le stesse caratteristiche","TOTAL","Totale","HOL","viaggio di vacanza","9","totale","Y_GE15","15 anni e più","1","occupato","2001-Q2","T2-2001",25.7,,
