"ITTER107","Territorio","TIPO_DATO_VIAGGI","Tipo Dato","ISO","Destinazione","TIPO_VIAGGIO2","Tipo di viaggio","SEXISTAT1","Sesso","ETA1","Classe di età","CONDIZIONE_DICH","Condizione professionale","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"IT","Italia","DEM_PTOUR_PERC1","persone che hanno effettuato viaggi - valori per 100 abitanti","TOTAL","Totale","HOL","viaggio di vacanza","9","totale","TOTAL","totale","99","totale","1998-Q2","T2-1998",18.6,,
"IT","Italia","DEM_PTOUR_PERC1","persone che hanno effettuato viaggi - valori per 100 abitanti","TOTAL","Totale","HOL","viaggio di vacanza","9","totale","TOTAL","totale","99","totale","1998-Q1","T1-1998",15.6,,
"IT","Italia","DEM_PTOUR_PERC1","persone che hanno effettuato viaggi - valori per 100 abitanti","TOTAL","Totale","HOL","viaggio di vacanza","9","totale","TOTAL","totale","99","totale","1998-Q4","T4-1998",12.5,,
"IT","Italia","DEM_PTOUR_PERC1","persone che hanno effettuato viaggi - valori per 100 abitanti","TOTAL","Totale","HOL","viaggio di vacanza","9","totale","TOTAL","totale","99","totale","1998-Q3","T3-1998",44.6,,
"IT","Italia","DEM_PTOUR_PERC1","persone che hanno effettuato viaggi - valori per 100 abitanti","TOTAL","Totale","HOL","viaggio di vacanza","9","totale","TOTAL","totale","99","totale","1999-Q1","T1-1999",14.7,,
"IT","Italia","DEM_PTOUR_PERC1","persone che hanno effettuato viaggi - valori per 100 abitanti","TOTAL","Totale","HOL","viaggio di vacanza","9","totale","TOTAL","totale","99","totale","1999-Q2","T2-1999",20.3,,
"IT","Italia","DEM_PTOUR_PERC1","persone che hanno effettuato viaggi - valori per 100 abitanti","TOTAL","Totale","HOL","viaggio di vacanza","9","totale","TOTAL","totale","99","totale","1999-Q4","T4-1999",14.1,,
"IT","Italia","DEM_PTOUR_PERC1","persone che hanno effettuato viaggi - valori per 100 abitanti","TOTAL","Totale","HOL","viaggio di vacanza","9","totale","TOTAL","totale","99","totale","1999-Q3","T3-1999",42.5,,
"IT","Italia","DEM_PTOUR_PERC1","persone che hanno effettuato viaggi - valori per 100 abitanti","TOTAL","Totale","HOL","viaggio di vacanza","9","totale","TOTAL","totale","99","totale","2000-Q2","T2-2000",21.1,,
"IT","Italia","DEM_PTOUR_PERC1","persone che hanno effettuato viaggi - valori per 100 abitanti","TOTAL","Totale","HOL","viaggio di vacanza","9","totale","TOTAL","totale","99","totale","2000-Q1","T1-2000",15.3,,
"IT","Italia","DEM_PTOUR_PERC1","persone che hanno effettuato viaggi - valori per 100 abitanti","TOTAL","Totale","HOL","viaggio di vacanza","9","totale","TOTAL","totale","99","totale","2000-Q4","T4-2000",13.3,,
"IT","Italia","DEM_PTOUR_PERC1","persone che hanno effettuato viaggi - valori per 100 abitanti","TOTAL","Totale","HOL","viaggio di vacanza","9","totale","TOTAL","totale","99","totale","2000-Q3","T3-2000",44.1,,
"IT","Italia","DEM_PTOUR_PERC1","persone che hanno effettuato viaggi - valori per 100 abitanti","TOTAL","Totale","HOL","viaggio di vacanza","9","totale","TOTAL","totale","99","totale","2001-Q1","T1-2001",16.6,,
"IT","Italia","DEM_PTOUR_PERC1","persone che hanno effettuato viaggi - valori per 100 abitanti","TOTAL","Totale","HOL","viaggio di vacanza","9","totale","TOTAL","totale","99","totale","2001-Q2","T2-2001",21.4,,
"IT","Italia","DEM_PTOUR_PERC1","persone che hanno effettuato viaggi - valori per 100 abitanti","TOTAL","Totale","HOL","viaggio di vacanza","9","totale","TOTAL","totale","99","totale","2001-Q4","T4-2001",14.7,,
"IT","Italia","DEM_PTOUR_PERC1","persone che hanno effettuato viaggi - valori per 100 abitanti","TOTAL","Totale","HOL","viaggio di vacanza","9","totale","TOTAL","totale","99","totale","2001-Q3","T3-2001",43,,
"IT","Italia","DEM_PTOUR_PERC1","persone che hanno effettuato viaggi - valori per 100 abitanti","TOTAL","Totale","HOL","viaggio di vacanza","9","totale","TOTAL","totale","99","totale","2002-Q2","T2-2002",22.6,,
"IT","Italia","DEM_PTOUR_PERC1","persone che hanno effettuato viaggi - valori per 100 abitanti","TOTAL","Totale","HOL","viaggio di vacanza","9","totale","TOTAL","totale","99","totale","2002-Q1","T1-2002",16.6,,
"IT","Italia","DEM_PTOUR_PERC1","persone che hanno effettuato viaggi - valori per 100 abitanti","TOTAL","Totale","HOL","viaggio di vacanza","9","totale","TOTAL","totale","99","totale","2002-Q4","T4-2002",14.7,,
"IT","Italia","DEM_PTOUR_PERC1","persone che hanno effettuato viaggi - valori per 100 abitanti","TOTAL","Totale","HOL","viaggio di vacanza","9","totale","TOTAL","totale","99","totale","2002-Q3","T3-2002",46,,
"IT","Italia","DEM_PTOUR_PERC1","persone che hanno effettuato viaggi - valori per 100 abitanti","TOTAL","Totale","HOL","viaggio di vacanza","9","totale","TOTAL","totale","99","totale","2003-Q1","T1-2003",17,,
"IT","Italia","DEM_PTOUR_PERC1","persone che hanno effettuato viaggi - valori per 100 abitanti","TOTAL","Totale","HOL","viaggio di vacanza","9","totale","TOTAL","totale","99","totale","2003-Q2","T2-2003",23.4,,
"IT","Italia","DEM_PTOUR_PERC1","persone che hanno effettuato viaggi - valori per 100 abitanti","TOTAL","Totale","HOL","viaggio di vacanza","9","totale","TOTAL","totale","99","totale","2003-Q4","T4-2003",11.8,,
"IT","Italia","DEM_PTOUR_PERC1","persone che hanno effettuato viaggi - valori per 100 abitanti","TOTAL","Totale","HOL","viaggio di vacanza","9","totale","TOTAL","totale","99","totale","2003-Q3","T3-2003",44.2,,
"IT","Italia","DEM_PTOUR_PERC1","persone che hanno effettuato viaggi - valori per 100 abitanti","TOTAL","Totale","HOL","viaggio di vacanza","9","totale","TOTAL","totale","99","totale","2004-Q2","T2-2004",21.8,,
"IT","Italia","DEM_PTOUR_PERC1","persone che hanno effettuato viaggi - valori per 100 abitanti","TOTAL","Totale","HOL","viaggio di vacanza","9","totale","TOTAL","totale","99","totale","2004-Q1","T1-2004",17.1,,
"IT","Italia","DEM_PTOUR_PERC1","persone che hanno effettuato viaggi - valori per 100 abitanti","TOTAL","Totale","HOL","viaggio di vacanza","9","totale","TOTAL","totale","99","totale","2004-Q4","T4-2004",14.2,,
"IT","Italia","DEM_PTOUR_PERC1","persone che hanno effettuato viaggi - valori per 100 abitanti","TOTAL","Totale","HOL","viaggio di vacanza","9","totale","TOTAL","totale","99","totale","2004-Q3","T3-2004",44.9,,
"IT","Italia","DEM_PTOUR_PERC1","persone che hanno effettuato viaggi - valori per 100 abitanti","TOTAL","Totale","HOL","viaggio di vacanza","9","totale","TOTAL","totale","99","totale","2005-Q1","T1-2005",20,,
"IT","Italia","DEM_PTOUR_PERC1","persone che hanno effettuato viaggi - valori per 100 abitanti","TOTAL","Totale","HOL","viaggio di vacanza","9","totale","TOTAL","totale","99","totale","2005-Q2","T2-2005",25.7,,
"IT","Italia","DEM_PTOUR_PERC1","persone che hanno effettuato viaggi - valori per 100 abitanti","TOTAL","Totale","HOL","viaggio di vacanza","9","totale","TOTAL","totale","99","totale","2005-Q4","T4-2005",15.4,,
"IT","Italia","DEM_PTOUR_PERC1","persone che hanno effettuato viaggi - valori per 100 abitanti","TOTAL","Totale","HOL","viaggio di vacanza","9","totale","TOTAL","totale","99","totale","2005-Q3","T3-2005",47.4,,
"IT","Italia","DEM_PTOUR_PERC1","persone che hanno effettuato viaggi - valori per 100 abitanti","TOTAL","Totale","HOL","viaggio di vacanza","9","totale","TOTAL","totale","99","totale","2006-Q2","T2-2006",23.2,,
"IT","Italia","DEM_PTOUR_PERC1","persone che hanno effettuato viaggi - valori per 100 abitanti","TOTAL","Totale","HOL","viaggio di vacanza","9","totale","TOTAL","totale","99","totale","2006-Q1","T1-2006",19.5,,
"IT","Italia","DEM_PTOUR_PERC1","persone che hanno effettuato viaggi - valori per 100 abitanti","TOTAL","Totale","HOL","viaggio di vacanza","9","totale","TOTAL","totale","99","totale","2006-Q4","T4-2006",17.1,,
"IT","Italia","DEM_PTOUR_PERC1","persone che hanno effettuato viaggi - valori per 100 abitanti","TOTAL","Totale","HOL","viaggio di vacanza","9","totale","TOTAL","totale","99","totale","2006-Q3","T3-2006",49.3,,
"IT","Italia","DEM_PTOUR_PERC1","persone che hanno effettuato viaggi - valori per 100 abitanti","TOTAL","Totale","HOL","viaggio di vacanza","9","totale","TOTAL","totale","99","totale","2007-Q1","T1-2007",18.6,,
"IT","Italia","DEM_PTOUR_PERC1","persone che hanno effettuato viaggi - valori per 100 abitanti","TOTAL","Totale","HOL","viaggio di vacanza","9","totale","TOTAL","totale","99","totale","2007-Q2","T2-2007",26.5,,
"IT","Italia","DEM_PTOUR_PERC1","persone che hanno effettuato viaggi - valori per 100 abitanti","TOTAL","Totale","HOL","viaggio di vacanza","9","totale","TOTAL","totale","99","totale","2007-Q4","T4-2007",16.6,,
"IT","Italia","DEM_PTOUR_PERC1","persone che hanno effettuato viaggi - valori per 100 abitanti","TOTAL","Totale","HOL","viaggio di vacanza","9","totale","TOTAL","totale","99","totale","2007-Q3","T3-2007",47.8,,
"IT","Italia","DEM_PTOUR_PERC1","persone che hanno effettuato viaggi - valori per 100 abitanti","TOTAL","Totale","HOL","viaggio di vacanza","9","totale","TOTAL","totale","99","totale","2008-Q2","T2-2008",24.6,,
"IT","Italia","DEM_PTOUR_PERC1","persone che hanno effettuato viaggi - valori per 100 abitanti","TOTAL","Totale","HOL","viaggio di vacanza","9","totale","TOTAL","totale","99","totale","2008-Q1","T1-2008",22.2,,
"IT","Italia","DEM_PTOUR_PERC1","persone che hanno effettuato viaggi - valori per 100 abitanti","TOTAL","Totale","HOL","viaggio di vacanza","9","totale","TOTAL","totale","99","totale","2008-Q4","T4-2008",19.8,,
"IT","Italia","DEM_PTOUR_PERC1","persone che hanno effettuato viaggi - valori per 100 abitanti","TOTAL","Totale","HOL","viaggio di vacanza","9","totale","TOTAL","totale","99","totale","2008-Q3","T3-2008",48.2,,
"IT","Italia","DEM_PTOUR_PERC1","persone che hanno effettuato viaggi - valori per 100 abitanti","TOTAL","Totale","HOL","viaggio di vacanza","9","totale","TOTAL","totale","99","totale","2009-Q1","T1-2009",16.9,,
"IT","Italia","DEM_PTOUR_PERC1","persone che hanno effettuato viaggi - valori per 100 abitanti","TOTAL","Totale","HOL","viaggio di vacanza","9","totale","TOTAL","totale","99","totale","2009-Q2","T2-2009",25.7,,
"IT","Italia","DEM_PTOUR_PERC1","persone che hanno effettuato viaggi - valori per 100 abitanti","TOTAL","Totale","HOL","viaggio di vacanza","9","totale","TOTAL","totale","99","totale","2009-Q4","T4-2009",16.5,,
"IT","Italia","DEM_PTOUR_PERC1","persone che hanno effettuato viaggi - valori per 100 abitanti","TOTAL","Totale","HOL","viaggio di vacanza","9","totale","TOTAL","totale","99","totale","2009-Q3","T3-2009",46.8,,
"IT","Italia","DEM_PTOUR_PERC1","persone che hanno effettuato viaggi - valori per 100 abitanti","TOTAL","Totale","HOL","viaggio di vacanza","9","totale","TOTAL","totale","99","totale","2010-Q2","T2-2010",22.8,,
"IT","Italia","DEM_PTOUR_PERC1","persone che hanno effettuato viaggi - valori per 100 abitanti","TOTAL","Totale","HOL","viaggio di vacanza","9","totale","TOTAL","totale","99","totale","2010-Q1","T1-2010",20.1,,
"IT","Italia","DEM_PTOUR_PERC1","persone che hanno effettuato viaggi - valori per 100 abitanti","TOTAL","Totale","HOL","viaggio di vacanza","9","totale","TOTAL","totale","99","totale","2010-Q4","T4-2010",13.6,,
"IT","Italia","DEM_PTOUR_PERC1","persone che hanno effettuato viaggi - valori per 100 abitanti","TOTAL","Totale","HOL","viaggio di vacanza","9","totale","TOTAL","totale","99","totale","2010-Q3","T3-2010",45.8,,
"IT","Italia","DEM_PTOUR_PERC1","persone che hanno effettuato viaggi - valori per 100 abitanti","TOTAL","Totale","HOL","viaggio di vacanza","9","totale","TOTAL","totale","99","totale","2011-Q1","T1-2011",15.8,,
"IT","Italia","DEM_PTOUR_PERC1","persone che hanno effettuato viaggi - valori per 100 abitanti","TOTAL","Totale","HOL","viaggio di vacanza","9","totale","TOTAL","totale","99","totale","2011-Q2","T2-2011",18.5,,
